season,name,team,position,usg_1st_down,usg_2nd_down,usg_3rd_down,usg_standard_downs,usg_passing_downs,usg_overall
2022,Blake Watson,Old Dominion,RB,0.3234,0.291,0.174,0.34,0.186,0.2737
2022,AJ Swann,Vanderbilt,QB,0.2315,0.252,0.356,0.23,0.347,0.2693
2022,Lincoln Pare,Texas State,RB,0.3301,0.237,0.193,0.324,0.151,0.2689
2022,Samson Evans,Eastern Michigan,RB,0.3168,0.228,0.21,0.381,0.114,0.2686
2022,Ben Gulbranson,Oregon State,QB,0.2541,0.242,0.336,0.164,0.376,0.2668
2022,Devin Neal,Kansas,RB,0.2985,0.274,0.186,0.25,0.235,0.2665
2022,Kendre Miller,TCU,RB,0.3366,0.247,0.129,0.274,0.141,0.264
2022,Tank Bigsby,Auburn,RB,0.3421,0.265,0.114,0.274,0.162,0.2621
2022,George Holani,Boise State,RB,0.2901,0.269,0.2,0.34,0.162,0.2619
2022,Jordan Mims,Fresno State,RB,0.3103,0.241,0.179,0.351,0.101,0.2612
2022,Haaziq Daniels,Air Force,QB,0.2089,0.23,0.401,0.178,0.443,0.2593
2022,Devin Leary,NC State,QB,0.2153,0.274,0.341,0.249,0.324,0.2578
2022,Tyjae Spears,Tulane,RB,0.2606,0.299,0.208,0.288,0.227,0.2564
2022,Eric Gray,Oklahoma,RB,0.2591,0.291,0.201,0.301,0.206,0.2541
2022,Frank Gore Jr.,Southern Mississippi,RB,0.2736,0.269,0.213,0.326,0.173,0.254
2022,Braylon Braxton,Tulsa,QB,0.1855,0.247,0.365,0.228,0.359,0.2533
2022,Brian Battie,South Florida,RB,0.3052,0.269,0.141,0.186,0.224,0.2525
2022,Lew Nichols,Central Michigan,RB,0.3031,0.256,0.163,0.277,0.182,0.252
2022,Will Shipley,Clemson,RB,0.2995,0.232,0.168,0.29,0.135,0.2486
2022,Sean Tyler,Western Michigan,RB,0.3013,0.235,0.17,0.303,0.159,0.2456
2022,Avery Morrow,Colorado State,RB,0.303,0.266,0.113,0.287,0.165,0.244
2022,Chris Rodriguez Jr.,Kentucky,RB,0.3292,0.233,0.079,0.264,0.118,0.2436
2022,Gerry Bohannon,South Florida,QB,0.2143,0.242,0.319,0.262,0.256,0.2424
2022,Richard Reese,Baylor,RB,0.279,0.241,0.189,0.274,0.165,0.2422
2022,Roman Hemby,Maryland,RB,0.2914,0.233,0.178,0.272,0.141,0.2396
2022,Cody Schrader,Missouri,RB,0.2727,0.24,0.162,0.33,0.128,0.2343
2022,Devin Mockobee,Purdue,RB,0.2985,0.206,0.114,0.29,0.076,0.2321
2022,Harrison Waylee,Northern Illinois,RB,0.2883,0.191,0.195,0.245,0.148,0.2318
2022,Edward Saydee,Temple,RB,0.3019,0.185,0.196,0.215,0.165,0.2314
2022,Aidan Robbins,UNLV,RB,0.2819,0.233,0.143,0.286,0.124,0.2301
2022,Dedrick Parson,Hawai'i,RB,0.2654,0.225,0.174,0.268,0.153,0.228
2022,Tanner Morgan,Minnesota,QB,0.2098,0.201,0.336,0.142,0.336,0.2273
2022,Brady Olson,UMass,QB,0.1828,0.229,0.285,0.19,0.296,0.227
2022,Marquis Crosby,Louisiana Tech,RB,0.2374,0.236,0.213,0.306,0.15,0.2269
2022,Jason Bean,Kansas,QB,0.1881,0.214,0.307,0.186,0.31,0.2253
